corpus,feature,n,mean_change,std_change,t_stat,p
SCALE,function_word_ratio,16,-0.1469023961610557,0.27746709987279905,-2.117763096646789,0.05130910637227543
SCALE,hapax_ratio,16,0.023002214553090185,0.08552575397168698,1.075802947528764,0.2990152552288103
SCALE,single_word_ratio,16,0.03887347139956711,0.15041101817612343,1.0337931853914666,0.3176134318542424
Tucson,z1,6,0.5667793084916313,4.527769999193676,0.3066233715094254,0.7714881592081206
Tucson,z2,6,0.5514978403269604,5.6802304127263,0.23782280029017133,0.8214568550175451
Tucson,z3,6,-0.001873904352047891,1.3853367926119893,-0.0033133527628639854,0.9974844637742131
Tucson,z4,6,-0.2523557089862922,2.30435853830325,-0.26824936763089463,0.7992226871694863
Tucson,z5,6,0.17445188926567834,0.5552655589363016,0.7695743171682048,0.4763166349389303
Tucson,z6,6,0.31472718578088105,1.1787873175176418,0.6539950013788185,0.5419953909818467
Tucson,z7,6,1.2228218431039493,1.6830923591965108,1.779634697744253,0.1352585452276356
Tucson,z8,6,0.21397916671189168,1.4282752091842368,0.3669739351769847,0.7286575948533064
Tucson,mlu_morphemes,6,0.4519938521155815,6.931623166161233,0.15972511459697847,0.879349537799488
Tucson,mlu_words,6,0.18416781238435798,1.303646674453868,0.3460425100039369,0.743395994984499
Tucson,ttr,6,0.000677414488829344,0.07912252537291736,0.020971522763960616,0.9840795396803047
Tucson,ndw,6,11.277777777777773,28.70088397141699,0.9625069741951526,0.3800004189196198
Tucson,verbs_per_utterance,6,-0.00951062630289194,0.5698952721140581,-0.0408780046375174,0.9689752397977487
Tucson,utt_len_std,6,0.31877130733559567,0.7977242366638697,0.9788182578952231,0.37262265751763823
Tucson,function_word_ratio,6,0.07023370330474889,0.4016838175103179,0.42828893857104505,0.686263154507031
Tucson,hapax_ratio,6,4.0923481518906346e-05,0.06832834893322398,0.0014670579603423806,0.9988861904472347
Tucson,single_word_ratio,6,-0.030207573256909828,0.09125860530757378,-0.8108072723420329,0.45432357236081955
UNH,z1,11,1.431819079909585,1.1684391577040667,4.064231008025434,0.0022710857712519026
UNH,z2,11,-0.27816823526595674,0.9701864737144312,-0.9509302489451542,0.3640568485403193
UNH,z3,11,-0.803928942362835,2.2337224377809566,-1.1936714315201957,0.26015486359741663
UNH,z4,11,-0.5540317508890364,1.5406389448420115,-1.192696994837436,0.26051954974528374
UNH,z5,11,0.46083538824113435,1.2657464228309359,1.2075231225976375,0.25501486477878366
UNH,z6,11,-0.15193953911347308,1.700775184487657,-0.2962922123130117,0.7730689846152006
UNH,z7,11,0.922099821634935,1.9109079010892387,1.6004220432986207,0.14058802562937678
UNH,z8,11,-0.025717943399439204,1.4991381001642425,-0.056897205551771475,0.9557479033740511
UNH,mlu_morphemes,11,2.1383578181744465,1.7153996531154339,4.134389637730913,0.00202992070221435
UNH,mlu_words,11,0.9048954955269416,0.6230896855585932,4.816640208792809,0.0007057753924903377
UNH,ttr,11,-0.04062780229290485,0.08108375421718408,-1.66182705232646,0.1275288844840075
UNH,ndw,11,20.681818181818183,26.29611869812461,2.6085154116806297,0.026107218265614452
UNH,verbs_per_utterance,11,0.10084678915334644,0.12938045431802947,2.5851738015355195,0.027174035287022145
UNH,utt_len_std,11,0.44447024865633417,0.5267672877469384,2.798467329993375,0.018844030950323835
UNH,function_word_ratio,11,0.016501168790990863,0.11874627492392331,0.4608833878544958,0.6547428677842985
UNH,hapax_ratio,11,-0.028624487035020407,0.09854721379489285,-0.9633624295979382,0.35808277585992876
UNH,single_word_ratio,11,-0.09522923944435226,0.08294797710701193,-3.80768365092691,0.003442229109516691
